Year,butterfly_all_species_smoothed,butterfly_all_species_raw,butterfly_habitat_specialist_smoothed,butterfly_habitat_specialist_raw,butterfly_generalist_smoothed,butterfly_generalist_raw,butterfly_farmland_generalist_smoothed,butterfly_farmland_generalist_raw,butterfly_farmland_specialist_smoothed,butterfly_farmland_specialist_raw,butterfly_woodland_generalist_smoothed,butterfly_woodland_generalist_raw,butterfly_woodland_specialist_smoothed,butterfly_woodland_specialist_raw,agri_area_higher_mha,agri_area_lower_mha,habitat_connectivity_index,habitat_connectivity_raw,habitat_conn_ci_lower,habitat_conn_ci_upper,plant_arable_index,plant_broadleaved_woodland_and_hedges_index,plant_lowland_grassland_index,plant_arable_ci_width,plant_broadleaved_woodland_and_hedges_ci_width,plant_lowland_grassland_ci_width,species_conn_pct_decreased,species_conn_pct_increased,species_conn_pct_no_change,butterfly_all_species_smoothed_yoy_change,butterfly_habitat_specialist_smoothed_yoy_change,butterfly_generalist_smoothed_yoy_change,habitat_connectivity_index_yoy_change,specialist_generalist_ratio,farmland_woodland_specialist_ratio,decline_flag,agri_area_higher_5yr_avg,agri_area_lower_5yr_avg,agri_area_higher_mha_lag1,agri_area_lower_mha_lag1,habitat_connectivity_index_lag1,agri_area_higher_mha_lag2,agri_area_lower_mha_lag2,habitat_connectivity_index_lag2,agri_area_higher_mha_lag3,agri_area_lower_mha_lag3,habitat_connectivity_index_lag3,outlier_flag,outlier_score
1990,94.715,108.426,70.986,78.917,110.292,121.73,100.0,91.129,100.0,103.889,100.0,106.825,100.0,124.304,0.175,0.031,96.412,94.03,93.397,99.428,99.8,99.85,99.57,2.5999999999999943,1.3999999999999915,2.260000000000005,62.07,3.45,34.48,-0.3980362139048843,0.6536500154960212,0.12784245457513332,-1.157532257395344,0.6436187574801436,1.0,0,0.175,0.031,0.175,0.031,96.412,0.175,0.031,96.412,0.175,0.031,96.412,1,-0.029386797743005788
1991,94.338,102.597,71.45,63.266,110.433,136.269,99.375,113.151,98.685,74.228,96.3,98.554,98.396,103.154,0.175,0.031,95.296,91.642,92.165,98.428,99.8,99.85,99.57,2.5999999999999943,1.3999999999999915,2.260000000000005,62.07,3.45,34.48,-0.3980362139048843,0.6536500154960212,0.12784245457513332,-1.157532257395344,0.646998632655094,1.0029371112646857,1,0.175,0.031,0.175,0.031,96.412,0.175,0.031,96.412,0.175,0.031,96.412,0,0.00629811491353216
1992,93.96,128.272,71.75,88.14,110.423,153.956,98.75,116.054,97.37,102.936,92.619,118.488,96.793,120.638,0.175,0.031,93.948,91.54,90.728,97.168,99.8,99.85,99.57,2.5999999999999943,1.3999999999999915,2.260000000000005,62.07,3.45,34.48,-0.400686891814539,0.41987403778867005,-0.009055264277890718,-1.4145399597045083,0.6497740506959601,1.0059611748783486,1,0.175,0.031,0.175,0.031,95.296,0.175,0.031,96.412,0.175,0.031,96.412,1,-0.0120423754831408
1993,93.583,85.73,71.758,68.576,110.263,87.578,98.125,72.721,96.053,87.815,88.985,60.349,95.191,68.784,0.331,0.031,92.432,93.21,89.14,95.724,99.8,99.85,99.57,2.5999999999999943,1.3999999999999915,2.260000000000005,62.07,3.45,34.48,-0.4012345679012319,0.01114982578396262,-0.14489734928411213,-1.6136586196619285,0.6507894760708487,1.0090554779338383,1,0.214,0.031,0.175,0.031,93.948,0.175,0.031,95.296,0.175,0.031,96.412,0,0.01641782118018853
1994,93.205,93.785,71.476,73.99,109.968,97.14,97.499,84.461,94.733,99.213,85.5,65.264,93.587,75.246,0.42,0.031,90.479,95.842,87.062,93.896,99.8,99.85,99.57,2.5999999999999943,1.3999999999999915,2.260000000000005,54.81166666666667,8.43,36.75833333333333,-0.4039195152965802,-0.3929875414587891,-0.2675421492250307,-2.112904621776013,0.6499709006256366,1.0122452904783785,1,0.2552,0.031,0.331,0.031,92.432,0.175,0.031,93.948,0.175,0.031,95.296,0,0.025628050136214886
1995,92.828,110.442,70.879,82.636,109.544,120.892,96.874,99.005,93.405,111.832,82.182,93.041,91.984,94.729,0.505,0.031,87.822,90.321,84.322,91.321,99.8,99.85,99.57,2.5999999999999943,1.3999999999999915,2.260000000000005,47.553333333333335,13.41,39.03666666666666,-0.4044847379432337,-0.83524539705635,-0.3855667103157323,-2.93659302158511,0.6470368071277296,1.0154483388415376,1,0.3212,0.031,0.42,0.031,90.479,0.331,0.031,92.432,0.175,0.031,93.948,0,0.008677937470114583
1996,92.45,110.188,69.961,76.59,108.991,130.736,96.249,111.086,92.069,102.699,78.99,92.827,90.38,95.167,0.529,0.031,83.552,84.432,80.178,86.926,99.8,99.85,99.57,2.5999999999999943,1.3999999999999915,2.260000000000005,40.295,18.389999999999997,41.315,-0.4072047227129727,-1.2951649995062042,-0.5048199810121945,-4.862107444603858,0.6418970373700581,1.018687762779376,1,0.392,0.031,0.505,0.031,87.822,0.42,0.031,90.479,0.331,0.031,92.432,0,0.01583520964813645
1997,92.073,115.115,68.802,78.014,108.317,139.764,95.624,125.794,90.724,111.063,75.915,95.427,88.778,115.74,0.577,0.031,78.117,81.63,74.743,81.491,99.8,99.85,99.57,2.5999999999999943,1.3999999999999915,2.260000000000005,33.03666666666667,23.369999999999997,43.593333333333334,-0.4077879935100115,-1.656637269335759,-0.618399684377613,-6.504931060896213,0.6351911518967476,1.0219198450066458,1,0.47240000000000004,0.031,0.529,0.031,83.552,0.505,0.031,87.822,0.42,0.031,90.479,1,-0.004198743275688033
1998,91.695,81.683,67.537,53.848,107.535,102.187,94.999,95.644,89.372,78.626,72.99,62.183,87.174,69.101,0.63,0.031,73.283,73.36,69.783,76.783,99.8,99.85,99.57,2.5999999999999943,1.3999999999999915,2.260000000000005,25.778333333333336,28.349999999999998,45.87166666666667,-0.41054380763090315,-1.8386093427516625,-0.7219550024465171,-6.188153666935503,0.6280466824754731,1.0252139399362195,1,0.5322,0.031,0.577,0.031,78.117,0.529,0.031,83.552,0.505,0.031,87.822,0,0.03145513220730212
1999,91.318,81.121,66.368,58.233,106.675,92.768,94.374,86.828,88.015,90.275,70.302,54.159,85.571,55.397,0.705,0.031,68.203,65.737,64.842,71.563,99.8,99.85,99.57,2.5999999999999943,1.3999999999999915,2.260000000000005,18.52,33.33,48.15,-0.41114564589126434,-1.7309030605446085,-0.7997396196587125,-6.932030621017149,0.6221513944223107,1.0285610779352818,1,0.5892000000000001,0.031,0.63,0.031,73.283,0.577,0.031,78.117,0.529,0.031,83.552,0,0.047046577158595226
