Year,Country,Area (Million Hectares)
1992,England,0.175
1993,England,0.331
1994,England,0.420
1995,England,0.505
1996,England,0.529
1997,England,0.577
1998,England,0.630
1999,England,0.705
2000,England,0.805
2001,England,0.914
2002,England,1.010
2003,England,1.156
2004,England,1.223
2005,England,1.148
2006,England,1.179
2007,England,1.196
2008,England,1.236
2009,England,1.276
2010,England,1.493
2011,England,1.395
2012,England,1.420
2013,England,1.400
2014,England,1.350
2015,England,1.340
2016,England,1.360
2017,England,1.430
2018,England,1.610
2019,England,1.800
2020,England,1.853
2021,England,2.279
2022,England,2.349
