Year,Country,Area (Million Hectares)
2003,England,0.031
2003,Wales,0.000
2003,Scotland,0.000
2003,Northern Ireland,0.000
2004,England,0.031
2004,Wales,0.000
2004,Scotland,0.000
2004,Northern Ireland,0.000
2005,England,1.375
2005,Wales,0.223
2005,Scotland,0.391
2005,Northern Ireland,0.000
2006,England,3.921
2006,Wales,0.223
2006,Scotland,0.436
2006,Northern Ireland,0.000
2007,England,4.725
2007,Wales,0.273
2007,Scotland,0.434
2007,Northern Ireland,0.000
2008,England,5.024
2008,Wales,0.293
2008,Scotland,0.478
2008,Northern Ireland,0.000
2009,England,5.609
2009,Wales,0.281
2009,Scotland,0.470
2009,Northern Ireland,0.000
2010,England,5.584
2010,Wales,0.279
2010,Scotland,0.290
2010,Northern Ireland,0.000
2011,England,5.607
2011,Wales,0.245
2011,Scotland,0.330
2011,Northern Ireland,0.000
2012,England,6.090
2012,Wales,0.410
2012,Scotland,0.410
2012,Northern Ireland,0.000
2013,England,6.510
2013,Wales,0.500
2013,Scotland,0.390
2013,Northern Ireland,0.000
2014,England,6.390
2014,Wales,0.510
2014,Scotland,0.340
2014,Northern Ireland,0.000
2015,England,5.130
2015,Wales,0.550
2015,Scotland,0.140
2015,Northern Ireland,0.000
2016,England,3.660
2016,Wales,0.550
2016,Scotland,0.060
2016,Northern Ireland,0.000
2017,England,2.810
2017,Wales,0.460
2017,Scotland,0.030
2017,Northern Ireland,0.000
2018,England,2.170
2018,Wales,0.450
2018,Scotland,0.000
2018,Northern Ireland,0.000
2019,England,1.980
2019,Wales,0.210
2019,Scotland,0.000
2019,Northern Ireland,0.000
2020,England,1.788
2020,Wales,0.000
2020,Scotland,0.000
2020,Northern Ireland,0.000
2021,England,1.040
2021,Wales,0.000
2021,Scotland,0.000
2021,Northern Ireland,0.000
2022,England,1.367
2022,Wales,0.000
2022,Scotland,0.000
2022,Northern Ireland,0.000
