Year,Unsmoothed index,Smoothed index,Lower ci,Upper ci
1976,150.707,100,92.116,107.884
1977,59.174,99.623,91.982,107.265
1978,84.554,99.245,91.843,106.647
1979,91.439,98.868,91.702,106.034
1980,85.928,98.49,91.557,105.423
1981,59.174,98.113,91.408,104.818
1982,107.928,97.735,91.254,104.216
1983,97.081,97.358,91.099,103.617
1984,128.864,96.98,90.936,103.023
1985,95.749,96.603,90.766,102.44
1986,88.947,96.225,90.592,101.858
1987,89.77,95.848,90.41,101.286
1988,76.937,95.47,90.218,100.722
1989,101.656,95.093,90.021,100.165
1990,108.426,94.715,89.811,99.618
1991,102.597,94.338,89.591,99.085
1992,128.272,93.96,89.361,98.559
1993,85.73,93.583,89.114,98.052
1994,93.785,93.205,88.854,97.556
1995,110.442,92.828,88.58,97.076
1996,110.188,92.45,88.288,96.612
1997,115.115,92.073,87.979,96.167
1998,81.683,91.695,87.651,95.738
1999,81.121,91.318,87.303,95.332
2000,85.336,90.94,86.934,94.945
2001,80.748,90.563,86.545,94.58
2002,78.367,90.184,86.138,94.231
2003,95.09,89.808,85.714,93.902
2004,99.571,89.429,85.264,93.594
2005,91.229,89.051,84.801,93.302
2006,99.801,88.674,84.323,93.025
2007,68.728,88.296,83.827,92.765
2008,63.993,87.919,83.317,92.521
2009,84.944,87.541,82.791,92.291
2010,100.031,87.164,82.258,92.071
2011,95.309,86.786,81.711,91.861
2012,55.607,86.409,81.154,91.664
2013,90.185,86.031,80.59,91.472
2014,91.229,85.654,80.018,91.29
2015,81.872,85.276,79.436,91.116
2016,64.734,84.899,78.85,90.949
2017,76.583,84.521,78.256,90.786
2018,102.125,84.144,77.66,90.628
2019,100.031,83.766,77.058,90.474
2020,94.653,83.389,76.45,90.328
2021,85.336,83.011,75.839,90.183
2022,85.14,82.634,75.226,90.042
2023,90.81,82.256,74.608,89.903
2024,58.362,81.879,73.989,89.769
