Year,Unsmoothed index,Smoothed index,Lower ci,Upper ci
1990,91.129,100,90.757,109.243
1991,113.151,99.375,90.53,108.22
1992,116.054,98.75,90.298,107.202
1993,72.721,98.125,90.055,106.194
1994,84.461,97.499,89.805,105.194
1995,99.005,96.874,89.542,104.206
1996,111.086,96.249,89.269,103.229
1997,125.794,95.624,88.98,102.268
1998,95.644,94.999,88.674,101.324
1999,86.828,94.374,88.351,100.397
2000,92.61,93.749,88.003,99.495
2001,85.047,93.123,87.631,98.616
2002,84.461,92.498,87.229,97.767
2003,103.91,91.873,86.793,96.953
2004,102.014,91.248,86.32,96.176
2005,90.92,90.623,85.807,95.438
2006,90.502,89.998,85.25,94.745
2007,66.475,89.372,84.646,94.099
2008,62.901,88.746,83.997,93.496
2009,89.466,88.121,83.304,92.938
2010,92.824,87.496,82.566,92.426
2011,84.267,86.871,81.788,91.954
2012,53.169,86.246,80.971,91.52
2013,100.152,85.621,80.123,91.118
2014,94.115,84.996,79.244,90.747
2015,87.631,84.37,78.34,90.4
2016,65.714,83.745,77.415,90.075
2017,83.111,83.12,76.469,89.772
2018,100.846,82.495,75.508,89.482
2019,101.312,81.87,74.531,89.209
2020,94.549,81.245,73.541,88.948
2021,81.594,80.619,72.543,88.696
2022,76.5,79.994,71.533,88.455
2023,93.038,79.369,70.517,88.221
2024,55.292,78.744,69.492,87.996
