Year,Unsmoothed index,Smoothed index,Lower ci,Upper ci
1990,103.889,100,90.525,109.475
1991,74.228,98.685,89.872,107.498
1992,102.936,97.37,89.157,105.582
1993,87.815,96.053,88.385,103.722
1994,99.213,94.733,87.545,101.921
1995,111.832,93.405,86.639,100.171
1996,102.699,92.069,85.663,98.475
1997,111.063,90.724,84.623,96.824
1998,78.626,89.372,83.524,95.22
1999,90.275,88.015,82.373,93.658
2000,84.834,86.658,81.178,92.137
2001,82.903,85.301,79.948,90.654
2002,73.547,83.948,78.689,89.208
2003,89.036,82.601,77.412,87.789
2004,89.036,81.26,76.12,86.399
2005,88.627,79.927,74.818,85.036
2006,94.747,78.605,73.515,83.696
2007,59.644,77.298,72.214,82.383
2008,54.022,76.01,70.92,81.101
2009,65.098,74.747,69.638,79.856
2010,79.537,73.507,68.366,78.649
2011,84.25,72.292,67.102,77.482
2012,48.036,71.1,65.841,76.36
2013,65.248,69.936,64.58,75.291
2014,66.004,68.796,63.313,74.28
2015,60.474,67.68,62.034,73.327
2016,49.61,66.586,60.734,72.438
2017,55.153,65.511,59.404,71.618
2018,66.922,64.451,58.039,70.863
2019,78.626,63.4,56.626,70.175
2020,78.626,62.352,55.154,69.55
2021,72.205,61.303,53.622,68.983
2022,74.057,60.251,52.027,68.475
2023,68.955,59.196,50.369,68.023
2024,39.497,58.139,48.65,67.628
