Year,Unsmoothed index,Smoothed index,Lower ci,Upper ci
1976,135.331,100,84.085,115.915
1977,64.032,100.903,86.513,115.292
1978,85.192,101.822,88.761,114.882
1979,96.693,102.757,90.826,114.688
1980,85.585,103.699,92.696,114.701
1981,75.404,104.639,94.377,114.902
1982,130.136,105.559,95.862,115.257
1983,120.336,106.43,97.146,115.713
1984,153.249,107.229,98.232,116.227
1985,99.861,107.945,99.139,116.752
1986,96.471,108.583,99.893,117.272
1987,85.585,109.144,100.518,117.77
1988,82.679,109.627,101.033,118.221
1989,123.708,110.019,101.438,118.599
1990,121.73,110.292,101.714,118.87
1991,136.269,110.433,101.849,119.016
1992,153.956,110.423,101.837,119.009
1993,87.578,110.263,101.675,118.852
1994,97.14,109.968,101.38,118.557
1995,120.892,109.544,100.955,118.132
1996,130.736,108.991,100.405,117.577
1997,139.764,108.317,99.734,116.901
1998,102.187,107.535,98.954,116.116
1999,92.768,106.675,98.096,115.253
2000,98.718,105.762,97.184,114.341
2001,89.618,104.816,96.238,113.395
2002,94.275,103.857,95.276,112.438
2003,112.563,102.893,94.31,111.477
2004,114.656,101.933,93.346,110.519
2005,99.402,100.985,92.396,109.574
2006,100.322,100.066,91.478,108.655
2007,73.349,99.193,90.605,107.782
2008,71.845,98.381,89.795,106.968
2009,99.861,97.634,89.051,106.218
2010,105.05,96.947,88.369,105.525
2011,95.807,96.311,87.73,104.892
2012,61.15,95.726,87.132,104.32
2013,109.748,95.188,86.562,103.814
2014,101.718,94.68,85.988,103.372
2015,95.367,94.192,85.383,103.001
2016,73.181,93.713,84.713,102.712
2017,92.768,93.238,83.946,102.529
2018,118.959,92.748,83.04,102.456
2019,111.019,92.228,81.952,102.504
2020,106.512,91.673,80.652,102.694
2021,86.975,91.084,79.13,103.039
2022,86.775,90.471,77.381,103.561
2023,103.371,89.841,75.417,104.265
2024,62.574,89.199,73.245,105.154
