Year,Unsmoothed index,Smoothed index,Lower ci,Upper ci
1990,106.825,100,87.992,112.008
1991,98.554,96.3,86.059,106.54
1992,118.488,92.619,83.738,101.501
1993,60.349,88.985,81.067,96.904
1994,65.264,85.5,78.199,92.801
1995,93.041,82.182,75.232,89.131
1996,92.827,78.99,72.214,85.765
1997,95.427,75.915,69.209,82.622
1998,62.183,72.99,66.303,79.678
1999,54.159,70.302,63.616,76.987
2000,55.677,67.908,61.222,74.593
2001,53.91,65.818,59.139,72.497
2002,61.471,64.005,57.337,70.674
2003,75.452,62.411,55.757,69.065
2004,75.279,60.966,54.327,67.605
2005,63.778,59.64,53.014,66.267
2006,61.613,58.445,51.827,65.063
2007,43.82,57.406,50.789,64.022
2008,40.614,56.554,49.936,63.173
2009,60.211,55.883,49.257,62.51
2010,67.557,55.342,48.702,61.981
2011,59.659,54.888,48.234,61.542
2012,34.251,54.517,47.848,61.186
2013,62.47,54.238,47.559,60.917
2014,56.192,54.001,47.316,60.687
2015,53.91,53.781,47.096,60.466
2016,38.786,53.558,46.87,60.245
2017,51.722,53.311,46.605,60.017
2018,73.227,52.98,46.202,59.757
2019,62.759,52.497,45.544,59.45
2020,61.048,51.854,44.545,59.163
2021,42.921,51.073,43.138,59.008
2022,48.27,50.204,41.292,59.115
2023,57.899,49.27,38.989,59.55
2024,33.012,48.292,36.232,60.353
