Year,Unsmoothed index,Smoothed index,Lower ci,Upper ci
1990,124.304,100,90.376,109.624
1991,103.154,98.396,89.189,107.603
1992,120.638,96.793,87.993,105.593
1993,68.784,95.191,86.79,103.591
1994,75.246,93.587,85.576,101.598
1995,94.729,91.984,84.351,99.617
1996,95.167,90.38,83.112,97.648
1997,115.74,88.778,81.861,95.695
1998,69.101,87.174,80.589,93.76
1999,55.397,85.571,79.3,91.842
2000,65.688,83.969,77.987,89.95
2001,80.814,82.365,76.647,88.083
2002,65.839,80.761,75.275,86.248
2003,83.846,79.158,73.869,84.447
2004,84.622,77.556,72.425,82.687
2005,76.118,75.952,70.938,80.966
2006,89.843,74.349,69.405,79.292
2007,61.871,72.746,67.827,77.665
2008,55.397,71.143,66.199,76.086
2009,64.936,69.539,64.523,74.556
2010,104.589,67.936,62.802,73.069
2011,100.574,66.334,61.039,71.628
2012,54.386,64.73,59.238,70.222
2013,59.633,63.126,57.403,68.849
2014,62.587,61.524,55.536,67.513
2015,55.015,59.921,53.642,66.199
2016,44.003,58.317,51.727,64.908
2017,42.509,56.715,49.791,63.639
2018,62.3,55.111,47.836,62.386
2019,61.728,53.508,45.867,61.148
2020,56.818,51.904,43.884,59.925
2021,60.881,50.302,41.892,58.712
2022,44.308,48.699,39.889,57.508
2023,48.695,47.095,37.878,56.312
2024,36.432,45.493,35.862,55.124
