Year [note 1],Unsmoothed index [note 2],Smoothed index,Smoothed index 95% confidence interval lower bound,Smoothed index 95% confidence interval upper bound
1985,100,96.532,90.473,102.591
1986,100.609,97.185,92.451,101.92
1987,96.2,97.481,93.706,101.256
1988,88.573,97.446,94.23,100.661
1989,98.258,97.104,94.1,100.108
1990,94.03,96.412,93.397,99.428
1991,91.642,95.296,92.165,98.428
1992,91.54,93.948,90.728,97.168
1993,93.21,92.432,89.14,95.724
1994,95.842,90.479,87.062,93.896
1995,90.321,87.822,84.322,91.321
1996,84.432,83.552,80.178,86.926
1997,81.63,78.117,74.743,81.491
1998,73.36,73.283,69.783,76.783
1999,65.737,68.203,64.842,71.563
2000,62.132,62.079,58.844,65.315
2001,57.431,56.758,53.398,60.118
2002,52.277,54.085,50.585,57.585
2003,52.049,54.314,50.926,57.703
2004,48.327,56.202,52.918,59.485
2005,55.745,59.347,56.115,62.579
2006,66.945,63.701,60.586,66.816
2007,70.11,69.466,66.455,72.477
2008,77.379,76.62,73.616,79.623
2009,95.218,85.141,81.925,88.356
2010,102.223,95.013,91.238,98.788
2011,104.491,106.244,101.509,110.978
2012,110.355,118.843,112.784,124.902
