Habitat,Year,Unsmoothed index,Lower 95 CI,Upper 95 CI
Arable,2015,99.8,98.5,101.1
Arable,2016,109.51,108.16,110.86
Arable,2017,101.56,99.97,103.15
Arable,2018,100.6,99.36,101.84
Arable,2019,87.68,86.47,88.89
Arable,2020,107.52,106.07,108.97
Arable,2021,98.26,96.87,99.65
Arable,2022,101.02,99.67,102.37
Arable,2023,106.54,105.1,107.98
Arable,2024,109.04,107.82,110.26
Bog & wet heath,2015,99.77,98.66,100.88
Bog & wet heath,2016,87.79,86.85,88.73
Bog & wet heath,2017,92.21,91.37,93.05
Bog & wet heath,2018,92.53,91.58,93.48
Bog & wet heath,2019,100.13,99.23,101.03
Bog & wet heath,2020,99.53,98.48,100.58
Bog & wet heath,2021,95.35,94.32,96.38
Bog & wet heath,2022,95.58,94.45,96.71
Bog & wet heath,2023,94.98,93.92,96.04
Bog & wet heath,2024,94.91,93.78,96.04
Lowland grassland,2015,99.57,98.44,100.7
Lowland grassland,2016,94.03,92.97,95.09
Lowland grassland,2017,89.9,88.83,90.97
Lowland grassland,2018,92.74,91.66,93.82
Lowland grassland,2019,92.19,91.19,93.19
Lowland grassland,2020,112.01,110.92,113.1
Lowland grassland,2021,98.13,97.23,99.03
Lowland grassland,2022,104.43,103.41,105.45
Lowland grassland,2023,104,102.87,105.13
Lowland grassland,2024,107,105.81,108.19
Broadleaved woodland & hedges,2015,99.85,99.15,100.55
Broadleaved woodland & hedges,2016,97.48,96.81,98.15
Broadleaved woodland & hedges,2017,93.54,92.89,94.19
Broadleaved woodland & hedges,2018,94.64,93.97,95.31
Broadleaved woodland & hedges,2019,94.86,94.17,95.55
Broadleaved woodland & hedges,2020,111.35,110.59,112.11
Broadleaved woodland & hedges,2021,95.85,95.03,96.67
Broadleaved woodland & hedges,2022,99.68,98.9,100.46
Broadleaved woodland & hedges,2023,101.52,100.74,102.3
Broadleaved woodland & hedges,2024,105.66,104.8,106.52
