Habitat,Species,Common name
Lowland grassland,Achillea millefolium,Yarrow
Lowland grassland,Agrimonia eupatoria,Agrimony
Lowland grassland,Alopecurus geniculatus,Marsh Foxtail
Lowland grassland,Anthoxanthum odoratum,Sweet Vernal-grass
Lowland grassland,Anthyllis vulneraria,Kidney Vetch
Lowland grassland,Bellis perennis,Daisy
Lowland grassland,Blackstonia perfoliata,Yellow-wort
Lowland grassland,Blechnum spicant,Hard-fern
Lowland grassland,Briza media,Quaking-grass
Lowland grassland,Bromopsis erecta,Upright Brome
Lowland grassland,Calluna vulgaris,Heather
Lowland grassland,Caltha palustris,Marsh-marigold
Lowland grassland,Campanula glomerata,Clustered Bellflower
Lowland grassland,Campanula rotundifolia,Harebell
Lowland grassland,Cardamine pratensis,Cuckooflower
Lowland grassland,Carduus nutans,Musk Thistle
Lowland grassland,Cerastium arvense,Field Mouse-ear
Lowland grassland,Cerastium fontanum,Common Mouse-ear
Lowland grassland,Cirsium acaule,Dwarf Thistle
Lowland grassland,Conopodium majus,Pignut
Lowland grassland,Cruciata laevipes,Crosswort
Lowland grassland,Dactylorhiza fuchsii,Common Spotted-orchid
Lowland grassland,Daucus carota,Carrot
Lowland grassland,Deschampsia cespitosa,Tufted Hair-grass
Lowland grassland,Erica cinerea,Bell Heather
Lowland grassland,Filago minima,Small Cudweed
Lowland grassland,Filipendula vulgaris,Dropwort
Lowland grassland,Galium mollugo,Hedge Bedstraw
Lowland grassland,Galium palustre,Marsh-bedstraw
Lowland grassland,Galium saxatile,Heath Bedstraw
Lowland grassland,Geranium sylvaticum,Wood Crane's-bill
Lowland grassland,Gymnadenia conopsea,Chalk Fragrant-orchid
Lowland grassland,Helictotrichon pratense,Meadow Oat-grass
Lowland grassland,Hippocrepis comosa,Horseshoe Vetch
Lowland grassland,Holcus lanatus,Yorkshire-fog
Lowland grassland,Hordeum secalinum,Meadow Barley
Lowland grassland,Hypochaeris radicata,Cat's-ear
Lowland grassland,Inula conyzae,Ploughman's-spikenard
Lowland grassland,Iris pseudacorus,Yellow Iris
Lowland grassland,Juncus squarrosus,Heath Rush
Lowland grassland,Knautia arvensis,Field Scabious
Lowland grassland,Leucanthemum vulgare,Oxeye Daisy
Lowland grassland,Linum catharticum,Fairy Flax
Lowland grassland,Nardus stricta,Mat-grass
Lowland grassland,Ophioglossum vulgatum,Adder's-tongue
Lowland grassland,Origanum vulgare,Wild Marjoram
Lowland grassland,Ornithopus perpusillus,Bird's-foot
Lowland grassland,Oxalis acetosella,Wood-sorrel
Lowland grassland,Pastinaca sativa,Wild Parsnip
Lowland grassland,Phalaris arundinacea,Reed Canary-grass
Lowland grassland,Pilosella officinarum,Mouse-ear-hawkweed
Lowland grassland,Pimpinella major,Greater Burnet-saxifrage
Lowland grassland,Plantago coronopus,Buck's-horn Plantain
Lowland grassland,Plantago media,Hoary Plantain
Lowland grassland,Potentilla anserina,Silverweed
Lowland grassland,Primula veris,Cowslip
Lowland grassland,Ranunculus bulbosus,Bulbous Buttercup
Lowland grassland,Ranunculus repens,Creeping Buttercup
Lowland grassland,Reseda luteola,Weld
Lowland grassland,Rhinanthus minor,Yellow-rattle
Lowland grassland,Rumex acetosa,Common Sorrel
Lowland grassland,Rumex acetosella,Sheep's Sorrel
Lowland grassland,Sanguisorba officinalis,Great Burnet
Lowland grassland,Saxifraga granulata,Meadow Saxifrage
Lowland grassland,Scabiosa columbaria,Small Scabious
Lowland grassland,Sedum anglicum,English Stonecrop
Lowland grassland,Silaum silaus,Pepper-saxifrage
Lowland grassland,Silene flos-cuculi,Ragged Robin
Lowland grassland,Sonchus arvensis,Perennial Sow-thistle
Lowland grassland,Spergularia rubra,Sand Spurrey
Lowland grassland,Stachys officinalis,Betony
Lowland grassland,Stellaria graminea,Lesser Stitchwort
Lowland grassland,Stellaria holostea,Greater Stitchwort
Lowland grassland,Succisa pratensis,Devil's-bit Scabious
Lowland grassland,Symphytum officinale,Common Comfrey
Lowland grassland,Thymus polytrichus/pulegioides,Thyme
Lowland grassland,Trifolium campestre,Hop Trefoil
Lowland grassland,Trifolium dubium,Lesser Trefoil
Lowland grassland,Trifolium pratense,Red Clover
Lowland grassland,Triglochin palustre,Lesser Twayblade
Lowland grassland,Ulex gallii/minor,Gorse
Lowland grassland,Valeriana dioica,Marsh Valerian
Lowland grassland,Valeriana officinalis,Common Valerian
Lowland grassland,Veronica arvensis,Wall Speedwell
Lowland grassland,Veronica officinalis,Heath Speedwell
Lowland grassland,Vicia cracca,Tufted Vetch
Arable field margins,Aethusa cynapium,Fool's Parsley
Arable field margins,Anagallis arvensis,Scarlet Pimpernel
Arable field margins,Anthemis cotula,Stinking Chamomile
Arable field margins,Capsella bursa-pastoris,Shepherd's-purse
Arable field margins,Cerastium glomeratum,Sticky Mouse-ear
Arable field margins,Chaenorhinum minus,Small Toadflax
Arable field margins,Chenopodium album,Fat-hen
Arable field margins,Euphorbia exigua,Dwarf Spurge
Arable field margins,Euphorbia helioscopia,Sun Spurge
Arable field margins,Fumaria,Fumitories
Arable field margins,Glebionis segetum,Corn Marigold
